SampleNamesFinal	SeqSampleNames	GS
2009-118452	2009-118452_S80	2
2009-119100	2009-119100_S51	2
2009-129008	2009-129008_S36	2
2009-130586	2009-130586_S47	2
2009-158448	2009-158448_S30	1
2009-173039	2009-173039_S57	1
2009-42653	2009-42653_S25	1
2009-75710	2009-75710_S27	2
2009-75775	2009-75775_S38	2
2009-86120	2009-86120_S59	2
2009-91522	2009-91522_S49	2
2010-112100-F	2010-112100_S72	1
2010-112100-O	2010-112100-O_S29	2
2010-112708	2010-112708_S39	2
2010-112758	2010-112758_S81	2
2010-112825	2010-112825_S50	2
2010-113332-F	2010-113332-F_S66	1
2010-113332-O	2010-113332-O_S40	2
2010-113862	2010-113862_S70	2
2010-113862-O	2010-113862-O_S14	2
2010-115605-F	2010-115605-F_S3	2
2010-115605-O	2010-115605-O_S76	1
2010-131105	2010-131105_S62	2
2010-16206	2010-16206_S79	2
2010-164712	2010-164712_S41	2
2010-1718	2010-1718_S67	1
2010-25654-01092014	2010-25654-01092014_S15	1
2010-25654-13102014	2010-25654-13102014_S52	1
2010-30795	2010-30795_S28	1
2010-30800	2010-30800_S37	2
2010-31374	2010-31374_S48	2
2010-33561	2010-33561_S7	2
2010-34330	2010-34330_S69	2
2010-347972	2010-347972_S32	2
2010-36743	2010-36743_S71	1
2010-378007-01092014	2010-378007-01092014_S19	2
2010-378007-18092014	2010-378007-18092014_S17	1
2010-43100	2010-43100_S6	1
2010-6073	2010-6073_S77	2
2010-8194	2010-8194_S4	1
2010-88823	2010-88823_S26	1
2012-164712	2012-164712_S61	1
2012-191940	2010-191960_S60	2
2012-37302	2012-37302_S78	1
2013-101463	2013-101463_S16	2
2013-39845	2013-39845_S58	2
2013-42088	2013-42088_S68	2
2013-87946	2013-87946_S5	1
B124_Slimy-small	B124-slimy-small_S75	2
B124_Small-clear	GH124-SMALL-CLEAR_S12	2
B124_Small-grey	B124-Small-grey_S13	2
B38_Tiny-mucoid	B38-TINY-MUCOID_S54	2
B124_Slimy-large	GH124-slimy-large_S2	2
13826	13826	2
ATCC_33237	ATCC_33237	1
ATCC_51561	ATCC_51561	2
ATCC_51562	ATCC_51562	1
UNSW1	UNSW1	2
UNSW2	UNSW2	2
UNSW3	UNSW3	2
UNSWCD	UNSWCD	2
UNSWCS	UNSWCS	2
H14O-S1	H14O-S1	2
H17O-S1	H17O-S1	1
H1O1	H1O1	1
H21O-S1	H21O-S1	2
H21O-S2	H21O-S2	2
H21O-S3	H21O-S3	1
H21O-S5	H21O-S5	2
H22O-S1	H22O-S1	2
H23O-S1	H23O-S1	2
H9O-S2	H9O-S2	2
P13UCO-S3	P13UCO-S3	2
P15UCO-S2	P15UCO-S2	2
P20CDO-S1	P20CDO-S1	2
P20CDO-S2	P20CDO-S2	2
P20CDO-S3	P20CDO-S3	2
P20CDO-S4	P20CDO-S4	1
P21CDO-S1	P21CDO-S1	2
P21CDO-S2	P21CDO-S2	2
P21CDO-S4	P21CDO-S4	2
P24CDO-S2	P24CDO-S2	2
P24CDO-S3	P24CDO-S3	2
P24CDO-S4	P24CDO-S4	2
P2CDO3	P2CDO3	2
P2CDO4	P2CDO4	2
P2CDO-S6	P2CDO-S6	2
P3UCB1	P3UCB1	1
P3UCO1	P3UCO1	1
