""	"acrF"	"adeA"	"amrB"	"cmeA"	"Escherichia coli gyrA conferring resistance to fluoroquinolones"	"macA"	"macB"	"mexB"	"mexQ"	"Mycobacterium tuberculosis gyrA conferring resistance to fluoroquinolones"	"oprM"	"Staphylococcus aureus rpoB mutants conferring resistance to rifampicin"	"tet32"
"13826"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2009-118452_S80"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2009-119100_S51"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2009-129008_S36"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2009-130586_S47"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2009-158448_S30"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2009-173039_S57"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2009-42653_S25"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2009-75710_S27"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2009-75775_S38"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2009-86120_S59"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2009-91522_S49"	1	0	0	1	1	1	1	0	1	0	0	1	0
"2010-112100-O_S29"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2010-112100_S72"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2010-112708_S39"	1	0	0	1	1	1	1	0	1	0	0	1	0
"2010-112758_S81"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2010-112825_S50"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2010-113332-F_S66"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2010-113332-O_S40"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2010-113862-O_S14"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2010-113862_S70"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2010-115605-F_S3"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2010-115605-O_S76"	1	0	1	2	0	2	2	0	1	1	0	1	0
"2010-131105_S62"	1	0	0	1	1	1	1	0	1	0	0	1	0
"2010-16206_S79"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2010-164712_S41"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2010-1718_S67"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2010-191960_S60"	1	0	0	1	1	1	1	0	1	0	0	1	0
"2010-25654-01092014_S15"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2010-25654-13102014_S52"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2010-30795_S28"	1	0	0	1	1	1	1	0	1	0	0	1	0
"2010-30800_S37"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2010-31374_S48"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2010-33561_S7"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2010-34330_S69"	1	0	0	1	1	1	1	0	1	0	0	1	0
"2010-347972_S32"	1	1	0	1	0	1	2	1	2	1	1	2	0
"2010-36743_S71"	1	0	0	1	1	1	1	0	1	0	0	1	0
"2010-378007-01092014_S19"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2010-378007-18092014_S17"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2010-43100_S6"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2010-6073_S77"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2010-8194_S4"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2010-88823_S26"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2012-164712_S61"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2012-37302_S78"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2013-101463_S16"	1	0	0	1	1	1	1	0	1	0	0	1	0
"2013-39845_S58"	1	0	0	1	0	1	1	0	1	1	0	1	0
"2013-42088_S68"	1	0	0	1	1	1	1	0	1	0	0	1	0
"2013-87946_S5"	1	0	0	1	0	1	1	0	1	1	0	1	0
"ATCC_33237"	1	0	0	1	0	1	1	0	1	1	0	1	0
"ATCC_51561"	2	0	0	2	0	2	2	0	2	2	0	2	0
"ATCC_51562"	2	0	0	2	0	2	2	0	2	2	0	2	0
"B124-slimy-small_S75"	1	0	0	1	0	1	1	0	1	1	0	1	0
"B124-Small-grey_S13"	1	0	0	1	0	1	1	0	1	1	0	1	0
"B23-Cloudy-pp_S34"	1	0	0	1	0	1	1	0	1	0	0	1	0
"B38-TINY-MUCOID_S54"	1	0	0	1	1	1	1	0	1	0	0	1	0
"GH124-slimy-large_S2"	1	0	0	1	0	1	1	0	1	1	0	1	0
"GH124-SMALL-CLEAR_S12"	1	0	0	1	0	1	1	0	1	1	0	1	0
"0P21CDO-S2    "	0	0	0	0	0	1	0	0	0	0	0	0	0
"P21CDO-S2"	1	0	0	1	0	0	1	0	1	1	0	1	0
"P21CDO-S4"	1	0	0	1	0	1	1	0	1	1	0	1	0
"P20CDO-S4"	1	0	0	1	0	1	1	0	1	1	0	1	0
"P21CDO-S1"	1	0	0	1	0	1	1	0	1	1	0	1	0
"P24CDO-S4"	1	0	0	1	0	1	1	0	1	1	0	1	0
"P24CDO-S2"	1	0	0	1	0	1	1	0	1	1	0	1	0
"P24CDO-S3"	1	0	0	1	0	1	1	0	1	1	0	1	0
"H17O-S1"	1	0	0	1	0	1	1	0	1	1	0	1	0
"H14O-S1"	1	0	0	1	0	1	1	0	1	1	0	1	0
"H9O-S2"	1	0	0	1	0	1	1	0	1	1	0	1	1
"H1O1"	1	0	0	1	0	1	1	0	1	1	0	1	0
"H21O-S5"	1	0	0	1	0	1	1	0	1	1	0	1	0
"H21O-S3"	1	0	0	1	0	1	1	0	1	1	0	1	0
"H21O-S2"	1	0	0	1	0	1	1	0	1	1	0	1	1
"H21O-S1"	1	0	0	1	1	1	1	0	1	0	0	1	1
