Sample	N50 (% of total length)	Longest contig (% of total length)	Complete BUSCOs (%)	error free (%)
2009-118452	6.132257684	12.3193541	90.95022624	81.13885568
2009-119100	18.99864646	21.22650767	91.85520362	83.17475981
2009-129008	30.88964159	32.38472725	92.30769231	80.65874693
2009-130586	24.0652288	36.82515387	91.40271493	83.43882065
2009-158448	14.3388799	18.74222413	90.49773756	77.59395722
2009-173039	16.59746568	21.26187288	90.95022624	88.82222431
2009-42653	21.46659975	33.1901054	92.30769231	90.81578804
2009-75710	25.7321661	28.11680262	92.30769231	84.63928533
2009-75775	14.52711947	21.50691873	91.40271493	89.31304044
2009-86120	8.540679992	18.92893605	91.40271493	85.83239662
2009-91522	50.66990296	50.66990296	92.30769231	80.15102701
2010-112100	35.14761561	44.6366002	92.30769231	85.61505497
2010-112100-O	35.35967439	47.63198437	92.30769231	93.37334859
2010-112708	16.64192923	42.28306783	90.49773756	74.92429969
2010-112758	52.22016395	52.22016395	91.40271493	89.34880986
2010-112825	15.76439687	19.34063901	91.85520362	87.75498579
2010-113332-F	52.97617096	52.97617096	90.95022624	76.63348235
2010-113332-O	56.67306824	56.67306824	91.85520362	92.03408051
2010-113862	8.532132916	14.82031383	91.85520362	83.43300526
2010-113862-O	21.23874489	23.50695738	92.30769231	86.73386727
2010-115605-F	15.44613466	46.11624327	91.85520362	83.04768484
2010-115605-O	1.841323304	7.567360456	91.40271493	40.78286079
2010-131105	87.27494759	87.27494759	91.40271493	94.67264661
2010-16206	14.30927005	25.29885753	91.40271493	94.54470186
2010-164712	10.19612456	20.91007005	92.760181	83.95309186
2010-1718	10.36639952	18.30643374	90.49773756	80.97140837
2010-25654-F	34.21349972	38.01921983	92.30769231	92.48303571
2010-25654-O	11.73120165	23.63294298	91.40271493	86.6390038
2010-30795	21.75191672	37.67036252	91.85520362	84.13145689
2010-30800	13.15173917	32.9639036	92.30769231	82.21293337
2010-31374	13.82521358	26.98512055	92.30769231	88.57514141
2010-33561	55.26856684	55.26856684	92.30769231	91.1729125
2010-34330	32.67876916	37.72207212	90.95022624	91.13145519
2010-347972	0.156057194	6.63709662	95.47511312	47.01175053
2010-36743	64.70172068	64.70172068	91.40271493	92.76901776
2010-378007-F	14.94263009	27.01132791	91.85520362	89.6908371
2010-378007-O	13.97470814	43.50201386	91.85520362	90.18498651
2010-43100	25.2643851	44.64050367	91.85520362	88.35217274
2010-6073	9.749671564	30.18353528	90.95022624	80.16546231
2010-8194	10.16648592	17.89100137	90.49773756	83.94108824
2010-88823	9.798806812	25.86975796	91.85520362	83.20798827
2012-164712	15.47774909	21.84421094	92.760181	89.1306134
2012-191940	9.679265286	12.58398802	91.40271493	77.75778621
2012-37302	7.986249203	15.56566037	90.49773756	82.65539822
2013-101463	14.0573326	20.93991231	90.95022624	89.0022051
2013-39845	34.16245021	38.6334392	91.40271493	84.27683584
2013-42088	15.81748475	22.33684062	92.30769231	87.57841424
2013-87946	7.47397863	20.53048896	90.95022624	83.74256325
B124_Slimy-small	39.56296491	42.38403215	91.40271493	88.0249707
B124_Small-clear	20.71914092	26.00514402	92.30769231	83.60705763
B124_Small-grey	16.88369447	20.96970473	92.30769231	92.04873791
B38_Tiny-mucoid	69.46660488	69.46660488	91.85520362	91.16587381
B124_Slimy-large	20.79533157	29.74687638	90.95022624	75.69631285
13826	100	100	92.30769231	0
ATCC_33237	100	100	91.40271493	0
ATCC_51561	2.781704273	4.725382209	71.49321267	0
ATCC_51562	9.811945161	17.6867653	67.42081448	0
UNSW1	3.045094501	6.818585414	67.42081448	0
UNSW2	2.217652326	8.357240866	69.68325792	0
UNSW3	3.268677652	9.567598747	70.58823529	0
UNSWCD	1.800173364	3.639499874	66.5158371	0
UNSWCS	3.378336724	7.403366007	90.95022624	0
