"cheA"	"flgG"	"fliG"	"fliM"	"htpB"	"pseB"	"tcpI"
"13826"	"2"	"0"	"0"	"0"	"0"	"0"	"0"
"2009-118452_S80"	"4"	"0"	"0"	"0"	"0"	"0"	"0"
"2009-119100_S51"	"2"	"0"	"0"	"0"	"0"	"0"	"0"
"2009-129008_S36"	"2"	"0"	"0"	"0"	"0"	"0"	"0"
"2009-130586_S47"	"2"	"0"	"0"	"0"	"0"	"0"	"0"
"2009-158448_S30"	"2"	"0"	"0"	"2"	"0"	"0"	"0"
"2009-173039_S57"	"2"	"0"	"0"	"0"	"0"	"0"	"0"
"2009-42653_S25"	"2"	"0"	"0"	"2"	"0"	"0"	"0"
"2009-75710_S27"	"2"	"0"	"0"	"0"	"0"	"0"	"0"
"2009-86120_S59"	"2"	"0"	"0"	"0"	"0"	"0"	"0"
"2009-91522_S49"	"2"	"0"	"0"	"0"	"0"	"0"	"0"
"2010-112100-O_S29"	"0"	"0"	"0"	"2"	"0"	"0"	"0"
"2010-112100_S72"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"2010-112708_S39"	"4"	"0"	"0"	"2"	"0"	"0"	"0"
"2010-112758_S81"	"4"	"0"	"0"	"0"	"0"	"0"	"0"
"2010-112825_S50"	"2"	"0"	"0"	"0"	"0"	"0"	"0"
"2010-113332-F_S66"	"0"	"2"	"0"	"0"	"0"	"0"	"0"
"2010-113332-O_S40"	"4"	"0"	"0"	"0"	"0"	"0"	"0"
"2010-113862-O_S14"	"4"	"0"	"0"	"0"	"0"	"0"	"0"
"2010-113862_S70"	"4"	"0"	"0"	"0"	"0"	"0"	"0"
"2010-115605-O_S76"	"4"	"0"	"0"	"2"	"0"	"0"	"2"
"2010-131105_S62"	"4"	"0"	"0"	"0"	"0"	"0"	"0"
"2010-16206_S79"	"4"	"0"	"0"	"0"	"0"	"0"	"0"
"2010-164712_S41"	"2"	"0"	"0"	"2"	"0"	"0"	"0"
"2010-191960_S60"	"4"	"0"	"0"	"2"	"0"	"0"	"0"
"2010-25654-01092014_S15"	"0"	"2"	"0"	"2"	"0"	"0"	"0"
"2010-25654-13102014_S52"	"0"	"2"	"0"	"2"	"0"	"0"	"0"
"2010-30795_S28"	"2"	"0"	"0"	"0"	"0"	"0"	"0"
