"","A","B","C","D","PROKKA","ko","D_shorthand","sample"
"4","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fructose-bisphosphate aldolase, class II","01784","K01624","FBA, fbaA","2010-347972"
"5","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","triosephosphate isomerase (TIM)","00763","K01803","TPI, tpiA","2010-347972"
"6","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","glyceraldehyde 3-phosphate dehydrogenase","00765","K00134","GAPDH, gapA","2010-347972"
"7","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","phosphoglycerate kinase","00764","K00927","PGK, pgk","2010-347972"
"8","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","00774","K15633","gpmI","2010-347972"
"9","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","01043","K15633","gpmI","2010-347972"
"10","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","enolase","00025","K01689","ENO, eno","2010-347972"
"11","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","enolase","00900","K01689","ENO, eno","2010-347972"
"12","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)","00472","K00029","E1.1.1.40, maeB","2010-347972"
"13","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","transketolase","00250","K00615","E2.2.1.1, tktA, tktB","2010-347972"
"14","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","transaldolase","00578","K00616","E2.2.1.2, talA, talB","2010-347972"
"15","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","ribose-phosphate pyrophosphokinase","01477","K00948","PRPS, prsA","2010-347972"
"16","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","citrate synthase","00002","K01647","CS, gltA","2010-347972"
"17","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","isocitrate dehydrogenase","01508","K00031","IDH1, IDH2, icd","2010-347972"
"18","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha","01511","K00174","korA, oorA, oforA","2010-347972"
"19","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta","01512","K00175","korB, oorB, oforB","2010-347972"
"20","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","2-oxoglutarate ferredoxin oxidoreductase subunit gamma","01513","K00177","korC, oorC","2010-347972"
"21","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","2-oxoglutarate ferredoxin oxidoreductase subunit delta","01510","K00176","korD, oorD","2010-347972"
"22","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fumarate reductase flavoprotein subunit","00828","K00244","frdA","2010-347972"
"23","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fumarate reductase flavoprotein subunit","00879","K00244","frdA","2010-347972"
"24","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fumarate reductase flavoprotein subunit","00896","K00244","frdA","2010-347972"
"25","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fumarate reductase flavoprotein subunit","00961","K00244","frdA","2010-347972"
"26","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fumarate reductase flavoprotein subunit","00966","K00244","frdA","2010-347972"
"27","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fumarate reductase flavoprotein subunit","01141","K00244","frdA","2010-347972"
"28","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fumarate reductase flavoprotein subunit","01188","K00244","frdA","2010-347972"
"29","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fumarate reductase flavoprotein subunit","01611","K00244","frdA","2010-347972"
"30","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fumarate reductase flavoprotein subunit","01615","K00244","frdA","2010-347972"
"31","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fumarate reductase flavoprotein subunit","01641","K00244","frdA","2010-347972"
"32","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fumarate reductase flavoprotein subunit","01676","K00244","frdA","2010-347972"
"33","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fumarate reductase flavoprotein subunit","01703","K00244","frdA","2010-347972"
"34","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fumarate reductase flavoprotein subunit","01723","K00244","frdA","2010-347972"
"35","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fumarate reductase flavoprotein subunit","01774","K00244","frdA","2010-347972"
"36","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fumarate reductase flavoprotein subunit","01782","K00244","frdA","2010-347972"
"37","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","malate dehydrogenase","00889","K00024","mdh","2010-347972"
"38","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","malate dehydrogenase","01509","K00024","mdh","2010-347972"
"39","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fructose-1,6-bisphosphatase I","00801","K03841","FBP, fbp","2010-347972"
"40","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","phosphoenolpyruvate carboxykinase (ATP)","00733","K01610","E4.1.1.49, pckA","2010-347972"
"41","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","pyruvate carboxylase","01069","K01958","PC, pyc","2010-347972"
"42","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","pyruvate carboxylase subunit B","00732","K01960","pycB","2010-347972"
"43","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","acetyl-CoA carboxylase biotin carboxyl carrier protein","01470","K02160","accB, bccP","2010-347972"
