"PROKKA","GENE","ko","A","B","C","D","D_shorthand"
"PROKKA_00001___83160_1","atpD_1","K02112","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","F-type H+-transporting ATPase subunit beta","ATPF1B, atpD"
"PROKKA_00001___83160_1","atpD_1","K02112","Metabolism"," Energy metabolism","  00195 Photosynthesis [PATH:ko00195]","F-type H+-transporting ATPase subunit beta","ATPF1B, atpD"
"PROKKA_00001_1","dnaA","K02313","Cellular Processes"," Cell growth and death","  04112 Cell cycle - Caulobacter [PATH:ko04112]","chromosomal replication initiator protein","dnaA"
"PROKKA_00001_1","dnaA","K02313","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","chromosomal replication initiator protein","dnaA"
"PROKKA_00002___3_1","group_12265","K00116","Metabolism"," Carbohydrate metabolism","  00020 Citrate cycle (TCA cycle) [PATH:ko00020]","malate dehydrogenase (quinone)","mqo"
"PROKKA_00002___3_1","group_12265","K00116","Metabolism"," Carbohydrate metabolism","  00620 Pyruvate metabolism [PATH:ko00620]","malate dehydrogenase (quinone)","mqo"
"PROKKA_00002___3_1","group_12265","K00116","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","malate dehydrogenase (quinone)","mqo"
"PROKKA_00002___305346_1","group_26241","K00978","Metabolism"," Carbohydrate metabolism","  00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","glucose-1-phosphate cytidylyltransferase","rfbF"
"PROKKA_00002___305346_1","group_26241","K00978","Metabolism"," Carbohydrate metabolism","  00500 Starch and sucrose metabolism [PATH:ko00500]","glucose-1-phosphate cytidylyltransferase","rfbF"
"PROKKA_00002___4023_1","group_16340","K01866","Genetic Information Processing"," Translation","  00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]","tyrosyl-tRNA synthetase","YARS, tyrS"
"PROKKA_00002___47695_1","group_10176","K03406","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","methyl-accepting chemotaxis protein","mcp"
"PROKKA_00002___47695_1","group_10176","K03406","Cellular Processes"," Cell motility","  02030 Bacterial chemotaxis [PATH:ko02030]","methyl-accepting chemotaxis protein","mcp"
"PROKKA_00003___305348_1","group_26242","K01709","Metabolism"," Carbohydrate metabolism","  00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","CDP-glucose 4,6-dehydratase","rfbG"
"PROKKA_00003_1","dnaN","K02338","Genetic Information Processing"," Replication and repair","  03030 DNA replication [PATH:ko03030]","DNA polymerase III subunit beta","DPO3B, dnaN"
"PROKKA_00003_1","dnaN","K02338","Genetic Information Processing"," Replication and repair","  03430 Mismatch repair [PATH:ko03430]","DNA polymerase III subunit beta","DPO3B, dnaN"
"PROKKA_00003_1","dnaN","K02338","Metabolism"," Nucleotide metabolism","  00240 Pyrimidine metabolism [PATH:ko00240]","DNA polymerase III subunit beta","DPO3B, dnaN"
"PROKKA_00003_1","dnaN","K02338","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","DNA polymerase III subunit beta","DPO3B, dnaN"
"PROKKA_00003_1","dnaN","K02338","Genetic Information Processing"," Replication and repair","  03440 Homologous recombination [PATH:ko03440]","DNA polymerase III subunit beta","DPO3B, dnaN"
