"aec18"	"BCE_5384"	"C8J_1077"	"C8J_1338"	"CFF8240_0010"	"CFF8240_1413"	"cheA"	"CJJ81176_1424"	"CVF256"	"fagC"	"fcl"	"flaA"	"flaB"	"flgG"	"flgI"	"flhA"	"flhB"	"flhG"	"fliG"	"fliI"	"fliM"	"fliP"	"fliR"	"groEL"	"hemE"	"htpB"	"JJD26997_1759"	"JJD26997_1763"	"lpxC"	"pglA"	"pglB"	"pglC"	"pglE"	"pglF"	"pglI"	"porA"	"pseB"	"rfaF"	"tcpI"	"tuf"	"wcbK"	"YE105_C1181"
"13826"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"0"
"2009-118452_S80"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"4"	"4"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"0"
"2009-119100_S51"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"4"	"4"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"0"	"0"
"2009-129008_S36"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"
"2009-130586_S47"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"
"2009-158448_S30"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 2"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	"14"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 8"	" 0"	" 2"	" 0"	" 2"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"
"2009-173039_S57"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"0"	"0"
"2009-42653_S25"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 2"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	"12"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 0"	" 8"	" 0"	" 0"	" 0"	" 2"	" 0"	" 0"	" 0"	" 2"	" 0"	" 0"
"2009-75710_S27"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"4"	"4"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"0"
"2009-75775_S38"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"
