"","A","B","C","D","PROKKA","ko","D_shorthand","sample"
"4","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","triosephosphate isomerase (TIM)","00140","K01803","TPI, tpiA","2010-115605-O_S76"
"5","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","triosephosphate isomerase (TIM)","00316","K01803","TPI, tpiA","2010-115605-O_S76"
"6","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","triosephosphate isomerase (TIM)","00124","K01803","TPI, tpiA","2010-378007-18092014_S17"
"7","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","triosephosphate isomerase (TIM)","00004","K01803","TPI, tpiA","GH124-SMALL-CLEAR_S12"
"8","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","triosephosphate isomerase (TIM)","00022","K01803","TPI, tpiA","H23O-S1"
"9","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","triosephosphate isomerase (TIM)","00003","K01803","TPI, tpiA","P2CDO-S6"
"10","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","glyceraldehyde 3-phosphate dehydrogenase","00142","K00134","GAPDH, gapA","2010-115605-O_S76"
"11","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","glyceraldehyde 3-phosphate dehydrogenase","00318","K00134","GAPDH, gapA","2010-115605-O_S76"
"12","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","glyceraldehyde 3-phosphate dehydrogenase","00122","K00134","GAPDH, gapA","2010-378007-18092014_S17"
"13","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","glyceraldehyde 3-phosphate dehydrogenase","00006","K00134","GAPDH, gapA","GH124-SMALL-CLEAR_S12"
"14","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","glyceraldehyde 3-phosphate dehydrogenase","00024","K00134","GAPDH, gapA","H23O-S1"
"15","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","glyceraldehyde 3-phosphate dehydrogenase","00005","K00134","GAPDH, gapA","P2CDO-S6"
"16","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","phosphoglycerate kinase","00141","K00927","PGK, pgk","2010-115605-O_S76"
"17","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","phosphoglycerate kinase","00317","K00927","PGK, pgk","2010-115605-O_S76"
"18","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","phosphoglycerate kinase","00123","K00927","PGK, pgk","2010-378007-18092014_S17"
"19","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","phosphoglycerate kinase","00005","K00927","PGK, pgk","GH124-SMALL-CLEAR_S12"
"20","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","phosphoglycerate kinase","00023","K00927","PGK, pgk","H23O-S1"
"21","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","phosphoglycerate kinase","00004","K00927","PGK, pgk","P2CDO-S6"
"22","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","00113","K15633","gpmI","2010-378007-18092014_S17"
"23","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","enolase","00039","K01689","ENO, eno","2010-131105_S62"
"24","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","enolase","00295","K01689","ENO, eno","2010-378007-18092014_S17"
"25","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","isocitrate dehydrogenase","00021","K00031","IDH1, IDH2, icd","2009-75775_S38"
"26","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","isocitrate dehydrogenase","00055","K00031","IDH1, IDH2, icd","2010-33561_S7"
"27","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha","00024","K00174","korA, oorA, oforA","2009-75775_S38"
"28","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha","00058","K00174","korA, oorA, oforA","2010-33561_S7"
"29","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta","00025","K00175","korB, oorB, oforB","2009-75775_S38"
"30","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta","00059","K00175","korB, oorB, oforB","2010-33561_S7"
"31","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","2-oxoglutarate ferredoxin oxidoreductase subunit gamma","00026","K00177","korC, oorC","2009-75775_S38"
"32","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","2-oxoglutarate ferredoxin oxidoreductase subunit gamma","00060","K00177","korC, oorC","2010-33561_S7"
"33","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","2-oxoglutarate ferredoxin oxidoreductase subunit delta","00023","K00176","korD, oorD","2009-75775_S38"
"34","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","2-oxoglutarate ferredoxin oxidoreductase subunit delta","00057","K00176","korD, oorD","2010-33561_S7"
"35","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","succinate dehydrogenase / fumarate reductase, flavoprotein subunit","00028","K00239","sdhA, frdA","2009-75775_S38"
"36","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","succinate dehydrogenase / fumarate reductase, flavoprotein subunit","00271","K00239","sdhA, frdA","2010-115605-O_S76"
"37","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","succinate dehydrogenase / fumarate reductase, iron-sulfur subunit","00029","K00240","sdhB, frdB","2009-75775_S38"
"38","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","succinate dehydrogenase / fumarate reductase, iron-sulfur subunit","00270","K00240","sdhB, frdB","2010-115605-O_S76"
"39","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","succinate dehydrogenase / fumarate reductase, cytochrome b subunit","00030","K00241","sdhC, frdC","2009-75775_S38"
"40","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","succinate dehydrogenase / fumarate reductase, cytochrome b subunit","00269","K00241","sdhC, frdC","2010-115605-O_S76"
"41","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fumarate hydratase subunit alpha","00007","K01677","E4.2.1.2AA, fumA","2010-113332-F_S66"
"42","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fumarate hydratase subunit beta","00006","K01678","E4.2.1.2AB, fumB","2010-113332-F_S66"
"43","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","malate dehydrogenase","00022","K00024","mdh","2009-75775_S38"
"44","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","malate dehydrogenase","00056","K00024","mdh","2010-33561_S7"
"45","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","malate dehydrogenase (quinone)","00132","K00116","mqo","2010-115605-O_S76"
"46","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","malate dehydrogenase (quinone)","00176","K00116","mqo","2010-115605-O_S76"
"47","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","malate dehydrogenase (quinone)","00128","K00116","mqo","2010-378007-18092014_S17"
"48","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","3-hydroxybutyryl-CoA dehydratase","00034","K17865","croR","H21O-S1"
"49","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","pyruvate-ferredoxin/flavodoxin oxidoreductase","00069","K03737","por, nifJ","2010-115605-O_S76"
"50","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","pyruvate-ferredoxin/flavodoxin oxidoreductase","00152","K03737","por, nifJ","2010-378007-18092014_S17"
"51","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","pyruvate-ferredoxin/flavodoxin oxidoreductase","00063","K03737","por, nifJ","B124-Small-grey_S13"
"52","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","acetyl-CoA carboxylase biotin carboxyl carrier protein","00140","K02160","accB, bccP","2010-378007-18092014_S17"
"53","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","acetyl-CoA carboxylase, biotin carboxylase subunit","00141","K01961","accC","2010-378007-18092014_S17"
"54","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase","00259","K01491","folD","2010-378007-18092014_S17"
"55","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","formate dehydrogenase major subunit","00091","K00123","fdoG, fdfH","2010-378007-18092014_S17"
"56","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","formate dehydrogenase major subunit","00092","K00123","fdoG, fdfH","2010-378007-18092014_S17"
"57","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","formate dehydrogenase major subunit","00094","K00123","fdoG, fdfH","2010-378007-18092014_S17"
"58","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","formate dehydrogenase major subunit","00095","K00123","fdoG, fdfH","2010-378007-18092014_S17"
"59","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","formate dehydrogenase iron-sulfur subunit","00093","K00124","fdoH","2010-378007-18092014_S17"
"60","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","acetate kinase","00001","K00925","ackA","2009-75775_S38"
